State,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
Nevada,0.89,0.42333333333333334,0.45,1.43,0.33666666666666667,0.39666666666666667,0.94,1.1533333333333333,1.843333333333333,0.8099999999999999,1.11,0.62
New Hampshire,2.2133333333333334,3.0500000000000003,6.303333333333334,3.7600000000000002,3.1733333333333333,3.4433333333333334,4.3933333333333335,4.39,3.5,4.683333333333334,6.463333333333334,3.79
New Jersey,3.4766666666666666,3.186666666666667,6.8500000000000005,2.4433333333333334,2.9033333333333338,4.556666666666667,2.513333333333333,4.7,2.58,3.8200000000000003,6.023333333333333,2.16
New Mexico,0.47000000000000003,1.06,2.186666666666667,0.39666666666666667,0.37999999999999995,0.8933333333333334,2.316666666666667,1.1166666666666667,0.69,0.86,1.3499999999999999,0.54
New York,2.0466666666666664,3.2866666666666666,6.116666666666667,3.9666666666666663,2.9899999999999998,3.8733333333333335,4.010000000000001,3.5033333333333334,3.096666666666667,3.3866666666666667,5.1066666666666665,3.93
North Carolina,5.1000000000000005,3.5566666666666666,5.05,2.16,3.9166666666666665,3.2866666666666666,5.066666666666666,3.276666666666667,3.5966666666666662,4.49,4.803333333333334,1.13
North Dakota,0.18333333333333335,1.7400000000000002,1.7299999999999998,1.5566666666666666,0.3333333333333333,3.39,1.6033333333333333,0.9566666666666667,0.5233333333333333,2.46,2.0500000000000003,1.62
Ohio,2.33,3.64,4.58,3.3433333333333333,3.3233333333333337,4.056666666666667,4.073333333333333,1.9633333333333332,3.5766666666666667,2.926666666666667,3.6466666666666665,3.14
Oklahoma,2.08,4.6933333333333325,2.4433333333333334,1.9900000000000002,1.6466666666666665,4.216666666666667,1.5200000000000002,2.473333333333333,2.2900000000000005,3.65,3.61,3.91
Oregon,3.606666666666667,0.9,0.75,4.246666666666667,2.223333333333333,3.5133333333333336,0.35333333333333333,3.7466666666666666,3.2433333333333336,2.0033333333333334,0.8466666666666667,2.15
Pennsylvania,2.54,3.5366666666666666,6.37,2.9233333333333333,3.1966666666666668,4.343333333333334,3.9333333333333336,3.5,2.9066666666666663,3.0566666666666666,5.016666666666667,3.18
Rhode Island,2.91,3.64,6.6933333333333325,3.3733333333333335,4.173333333333333,3.1300000000000003,3.4600000000000004,4.906666666666666,4.13,3.856666666666667,6.59,3.25
South Carolina,4.7299999999999995,3.436666666666666,5.406666666666666,2.25,3.283333333333333,3.6233333333333335,5.066666666666666,3.17,4.233333333333333,4.8500000000000005,4.873333333333334,1.98
South Dakota,0.63,1.64,2.35,1.43,0.30666666666666664,2.796666666666667,1.7366666666666666,0.8233333333333333,0.8733333333333334,2.796666666666667,2.796666666666667,2.42
Tennessee,6.173333333333335,3.8699999999999997,5.683333333333334,3.8666666666666667,6.38,3.9166666666666665,4.1866666666666665,3.776666666666667,5.54,3.966666666666667,4.55,1.14
Texas,1.3333333333333333,4.126666666666667,2.733333333333333,1.4033333333333333,0.9966666666666667,1.6733333333333331,2.256666666666667,2.1533333333333333,1.3233333333333333,2.98,1.4433333333333334,3.52
Utah,0.9500000000000001,0.44,1.5599999999999998,1.5666666666666667,0.57,0.6033333333333334,1.28,1.3466666666666667,2.3066666666666666,0.7799999999999999,1.2233333333333334,0.74
Vermont,1.97,3.1233333333333335,5.04,3.736666666666667,2.8766666666666665,3.84,4.303333333333334,3.6199999999999997,3.0933333333333333,4.0200000000000005,6.383333333333334,5.0
Virginia,3.8366666666666673,3.0066666666666664,4.9433333333333325,1.8333333333333333,3.5833333333333335,3.8533333333333335,4.166666666666667,3.5933333333333333,2.6933333333333334,3.9499999999999997,4.1866666666666665,1.24
Washington,5.180000000000001,1.21,1.2866666666666668,6.946666666666666,4.403333333333333,4.033333333333333,0.4033333333333333,5.286666666666666,3.6333333333333333,2.12,1.1666666666666667,2.62
West Virginia,3.5666666666666664,3.7600000000000002,4.47,2.3966666666666665,3.8833333333333333,4.543333333333334,5.036666666666666,2.9933333333333336,3.223333333333333,3.3366666666666664,4.31,2.33
Wisconsin,1.1966666666666665,3.0833333333333335,3.9633333333333334,1.7233333333333334,1.4433333333333334,3.4333333333333336,3.736666666666667,2.1199999999999997,2.18,2.5100000000000002,3.276666666666667,4.14
Wyoming,1.0866666666666667,1.2533333333333332,1.14,1.3099999999999998,0.7233333333333333,1.8733333333333333,1.2066666666666666,1.1033333333333333,1.3,2.396666666666667,1.5566666666666666,1.82
