Event,Categories,Date,Location,Country,Year,Longitude,Latitude
"Wildfires - Colville Indian Reservation (Whitmore Fire), Washington, United States",Wildfires,2021-08-06 20:29:00+00:00,"[-119.14283, 48.16566]",United States,2021,-119.14283,48.16566
"Wildfires - Siskiyou County (McCash Fire), California, United States",Wildfires,2021-08-06 20:16:00+00:00,"[-123.39812, 41.56375]",United States,2021,-123.39812,41.56375
"Wildfires - Douglas County (Devils Knob Complex), Oregon, United States",Wildfires,2021-08-06 19:52:00+00:00,"[-122.83812, 42.90764]",United States,2021,-122.83812,42.90764
"Wildfire - Yakima County (Schneider Springs Fire), Washington, United States",Wildfires,2021-08-05 20:21:00+00:00,"[-121.15523, 46.84509]",United States,2021,-121.15523,46.84509
"Wildfires - Nevada and Placer Counties (River Fire), California, United States",Wildfires,2021-08-05 13:45:00+00:00,"[-120.97613, 39.11329]",United States,2021,-120.97613,39.11329
"Spur Fire, Okanogan County, Washington, United States",Wildfires,2021-08-05 02:00:00+00:00,"[-119.079, 48.815]",United States,2021,-119.079,48.815
"Muckamuck Fire, Okanogan County, Washington, United States",Wildfires,2021-08-04 11:00:00+00:00,"[-119.832, 48.575]",United States,2021,-119.832,48.575
"Wildfire - Siskiyou County (River Complex), California, United States",Wildfires,2021-08-03 16:37:00+00:00,"[-123.05161, 41.1534]",United States,2021,-123.05161,41.1534
"Wildfire - Siskiyou County (Antelope Fire), California, United States",Wildfires,2021-08-02 23:25:00+00:00,"[-121.92528, 41.50178]",United States,2021,-121.92528,41.50178
"Wildfire - Lane County (Middle Fork Complex), Oregon, United States",Wildfires,2021-08-02 18:11:00+00:00,"[-122.47228, 43.95022]",United States,2021,-122.47228,43.95022
"Wildfire - Trinity County (Monument Fire), California, United States",Wildfires,2021-08-02 18:02:00+00:00,"[-123.31743, 40.748]",United States,2021,-123.31743,40.748
"Wildfire - Lake County (Boulder 2700 Fire), Montana, United States",Wildfires,2021-08-02 17:55:00+00:00,"[-113.99586, 47.77489]",United States,2021,-113.99586,47.77489
"Wildfire - Bonner County (Pioneer Fire), Idaho, United States",Wildfires,2021-08-02 17:49:00+00:00,"[-116.92985, 48.21894]",United States,2021,-116.92985,48.21894
"Wildfire - Trinity County (McFarland Fire), California, United States",Wildfires,2021-08-01 23:42:00+00:00,"[-123.06769, 40.34992]",United States,2021,-123.06769,40.34992
"Wildfires - Garfield County (Green Ridge Fire), Washington, United States",Wildfires,2021-07-28 15:57:00+00:00,"[-117.72063, 46.17848]",United States,2021,-117.72063,46.17848
"Wildfires - Beaverhead County (Trail Creek Fire), Montana, United States",Wildfires,2021-07-28 15:37:00+00:00,"[-113.84928, 45.60727]",United States,2021,-113.84928,45.60727
"Wildfire - Spokane County (Hazard Hill Fire), Washington, United States",Wildfires,2021-07-28 15:18:00+00:00,"[-117.47202, 47.82259]",United States,2021,-117.47202,47.82259
"Wildfire - Broadwater County (Woods Creek Fire), Montana, United States",Wildfires,2021-07-27 15:20:00+00:00,"[-111.30538, 46.5346]",United States,2021,-111.30538,46.5346
"Wildfire - Colville Reservation (Summit Trail Fire), Washington, United States",Wildfires,2021-07-27 15:15:00+00:00,"[-118.48844, 48.35746]",United States,2021,-118.48844,48.35746
