微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
O1Kxe2lhZ,【英国香港申请】学生：大家好！目前gap year，软科50左右的211人力资源管理专业，均分88.12（加权87.22），雅思7（6），有大厂人力、世界五百强行政、政府综合事务、社区公共事务共4段实习，主持校级大创优秀结题，校一等优秀毕业论文，文学类论文国家级普刊2篇，志愿服务经历、校级奖学金、荣誉若干...全文 ,,无,无,无,2024-02-22 11:04,微博网页版,4,0,2
O1EuqyCYu,【英国澳洲Offer】学生：学生：大家好！麻烦大家能给一点选校建议，谢谢大家！Bg：211 数媒技  GPA：83  无雅申+一段实习Offer：1. GSA - heritage visualization（2.29留位费截至2. Leeds - Digital Design Future在等：（2月刚投的）3. UNSW - Simulation and Immersive Tech4. UQ - 交互...全文 ,,无,无,无,2024-02-21 19:41,微博网页版,0,1,1
O1EhSd03D,【UCL Offer】学生：叔新年好！想麻烦大家帮忙选一下offer，谢谢大家🥺Offer1、ucl的society and geographic data science2、ucl的urban spatial sciencebg中外合办 二等一 有雅有g 选校  ,,无,无,无,2024-02-21 19:10,微博网页版,124,0,0
O1EhBk9Wb,【英国Offer】学生：叔，我来投稿了，被kcl Banking and Finance和Finance(Asset Pricing)同时录取了，现在想交一个留位费，但不知道选择哪个offer，想求助一下！想知道这两个专业毕业一般的就业去向以及哪个更好就业还有哪个读起来对我这种非金融专业有一点金融基础的更有好一些bg:双非中外合办 In...全文 ,,无,无,无,2024-02-21 19:09,微博网页版,168,0,0
O1Ehe2XXH,【#华威大学#】学生：叔！报个offer攒人品 华威 misdi tl:1.12-2.20 t1 211 信管专业，均分87.5，雅7.5 是收到的第一个offer，自己还蛮喜欢这个专业，想问问国内华威商学院认可度怎么样呢？（不太确定是不是继续等其他的）  ,,无,无,无,2024-02-21 19:08,微博网页版,0,0,1
O1EgYDF5l,【香港Offer】学生：Cook叔新年好！來報個offer：港城llm arb tl：12.14-2.21 bg：中流理工211 87 雅7（6） 三段水實習 過法考 btw想問問大家現在還有希望蹲港中的llm嗎 谢谢大家！  ,,无,无,无,2024-02-21 19:07,微博网页版,0,1,0
O1EgF7wVF,【英国Offer】学生：叔，麻烦帮忙选个校～bg：双非软科前100 英语师范1. 曼大的international education（tesol）2. 利兹的TESOL studies纠结的点是曼大的专业回来有一定几率不能考编，虽然我不是一定要当在编老师，但不想自己的路变窄了。且利兹房子已租好语言已达到，但曼还要再考雅可能因为备...全文 ,,无,无,无,2024-02-21 19:07,微博网页版,138,0,4
O1Eg8uth2,【英国Offer】学生：叔，求选offer 曼大ifr，布大 ba和econ with ds，kcl eeid～ 回国打算 想去外企或者大厂～ 选校  ,,无,无,无,2024-02-21 19:05,微博网页版,146,0,0
O1Ecvtrsw,【英国香港Offer】学生：叔，帮忙发个offer投票，谢谢！bg：江浙沪双非一本，林学未来大概率回江浙沪就业，外企国企都会考虑，有考编可能offer：1、爱丁堡 环境保护与管理2、港科大 环境健康与安全（已交留位费2.9w）现在顾虑：港科大内地认可度好，学费比爱宝便宜20w，但是qs排名下降的有点...全文 ,,无,无,无,2024-02-21 18:56,微博网页版,287,0,6
O1DYzq7z7,英国TESOL毕业有可能在当地找工作吗？ 崔钟博汶Cook的微博视频  ,,无,"https://f.video.weibocdn.com/o0/rPzdLxNHlx08cIqmYZCU010412007iDI0E010.mp4?label=mp4_hd&template=540x960.26.0&Expires=1708881660&ssig=W%2FtZqhlD8g&KID=unistore,video",无,2024-02-21 18:22,微博视频号,6,4,1
O1CxRccoM,"【澳洲院校近期消息汇总】一.墨尔本大学商学院硕士课程重要更新：1. 对于Management Suite, International Business, Digital Marketing, Supply Chain Management硕士课程，语言要求调整为7.0/6.52. 提高要求后，依旧可以package UMELBP的课程3.上述变化从2024年S2开始执行，2024年2月6日前已经...全文 ",,无,无,无,2024-02-21 14:44,微博网页版,3,1,0
O1Bs2gDn3,【新加坡英国Offer】学生：叔 又来新的offer了 求帮忙选校！    1. NTU 应用经济学   2.UCL国际公共政策 3. 曼大人力资源（商学院）本人bg：双非中外合作 英国一等学位，中国均分88三段银行实习雅7七分无G 选校  ,,无,无,无,2024-02-21 11:56,微博网页版,536,0,10
