company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
SHL DATA LTD,10062516,dissolved,ltd,search-results#company,{'company_profile': '/company/10062516'},2022-07-05,2016-03-14,['64191'],,12 Spriggs Court Palmers Hill,Epping,CM16 6SD,England,Essex,,2022,2016
GOHOBUR LIMITED,10062705,active,ltd,search-results#company,{'company_profile': '/company/10062705'},,2016-03-15,['64191'],,125 Hendre Road,Cardiff,CF3 1ST,Wales,,Trowbridge,,2016
JL SOLUTIONS 87 LIMITED,10072019,dissolved,ltd,search-results#company,{'company_profile': '/company/10072019'},2023-10-03,2016-03-18,['64191'],,35 Smithy Lane,Widnes,WA8 5DF,England,,Cronton,2023,2016
LONDON MONEY COMMERCIAL LIMITED,10075115,dissolved,ltd,search-results#company,{'company_profile': '/company/10075115'},2023-10-24,2016-03-21,['64191'],,Suite 1 Concept House,Hornchurch,RM11 1XP,United Kingdom,Essex,23 Billet Lane,2023,2016
P.P. CAPITAL LIMITED,10103850,dissolved,ltd,search-results#company,{'company_profile': '/company/10103850'},2018-05-29,2016-04-05,"['64191', '64301', '64302', '66300']",,Kemp House,London,EC1V 2NX,United Kingdom,,160 City Road,2018,2016
CKMC LIMITED,09473604,dissolved,ltd,search-results#company,{'company_profile': '/company/09473604'},2022-01-04,2015-03-05,['64191'],,25 Quayle Crescent,London,N20 0BH,England,,,2022,2015
NUFI LIMITED,09491961,dissolved,ltd,search-results#company,{'company_profile': '/company/09491961'},2018-05-01,2015-03-16,['64191'],,Coppice Barn,Worcester,WR4 0SL,,,St. Nicholas Lane,2018,2015
KATIE ECCLESON LIMITED,09491952,dissolved,ltd,search-results#company,{'company_profile': '/company/09491952'},2019-09-10,2015-03-16,['64191'],,5 Palace Close,Flint,CH6 5YE,United Kingdom,,,2019,2015
BLACK I GROUP LIMITED,09493137,liquidation,ltd,search-results#company,{'company_profile': '/company/09493137'},,2015-03-17,['64191'],,Wilson Field Limited The Manor House,Sheffield,S11 9PS,,,260 Ecclesall Road South,,2015
Y JENNINGS LIMITED,09492688,dissolved,ltd,search-results#company,{'company_profile': '/company/09492688'},2022-05-10,2015-03-17,"['64191', '66210']",,14 Acol Road,London,NW6 3AH,England,,Flat 2,2022,2015
KYZE LTD,09494695,dissolved,ltd,search-results#company,{'company_profile': '/company/09494695'},2020-04-07,2015-03-17,['64191'],,Flat 38 Damien Court,London,E1 2HL,England,,Damien Street,2020,2015
TDANGA LIMITED,09530829,dissolved,ltd,search-results#company,{'company_profile': '/company/09530829'},2017-03-07,2015-04-08,['64191'],,12 Church Close,Leeds,LS14 6JT,England,,,2017,2015
VECAPAY INTERNATIONAL LIMITED,09540470,dissolved,ltd,search-results#company,{'company_profile': '/company/09540470'},2016-12-13,2015-04-14,['64191'],,11c Hermon Hill,London,E11 2AR,England,,Wanstead,2016,2015
RMK BESPOKE CONSULTANCY LTD,09552771,active,ltd,search-results#company,{'company_profile': '/company/09552771'},,2015-04-21,['64191'],,Unit 6 Riverside Court,Sheffield,S9 2TF,England,,Don Road,,2015
AAB FINANCIAL SERVICES LTD,09557427,active,ltd,search-results#company,{'company_profile': '/company/09557427'},,2015-04-23,['64191'],,51 Plumleys,Basildon,SS13 1NQ,England,,Pitsea,,2015
CRISP CONTRACTING LIMITED,09559745,dissolved,ltd,search-results#company,{'company_profile': '/company/09559745'},2017-12-16,2015-04-24,['64191'],,C/O Sjd Insolvency Services Ltd Kd Tower,Hemel Hempstead,HP1 1FW,,,Cotterells,2017,2015
DAWT LIMITED,09559528,dissolved,ltd,search-results#company,{'company_profile': '/company/09559528'},2021-04-20,2015-04-24,"['64191', '66290']",,1 Egremont Road,Cardiff,CF23 5LP,Wales,,,2021,2015
JSJ CONTRACTING LTD,09569733,dissolved,ltd,search-results#company,{'company_profile': '/company/09569733'},2019-07-30,2015-04-30,['64191'],,8 Painswick Road Painswick Road,Birmingham,B28 0HH,United Kingdom,West Midlands,Hall Green,2019,2015
JEFFERSON LOMAX LIMITED,09570323,dissolved,ltd,search-results#company,{'company_profile': '/company/09570323'},2021-10-26,2015-05-01,['64191'],,74 Close Hill Lane,Huddersfield,HD4 6JY,,,,2021,2015
CHRISBOL SOLUTIONS LIMITED,09572454,active,ltd,search-results#company,{'company_profile': '/company/09572454'},,2015-05-01,"['64191', '68100', '68209', '87100']",,9 Mannering Street,Manchester,M18 7SU,England,Cheshire,Gorton,,2015
CREATIVE INTELLECT LTD,09580886,dissolved,ltd,search-results#company,{'company_profile': '/company/09580886'},2023-07-18,2015-05-08,['64191'],,51 Limeharbour,London,E14 9TS,England,,,2023,2015
STUART O'FLYNN LTD,09587068,dissolved,ltd,search-results#company,{'company_profile': '/company/09587068'},2018-05-01,2015-05-12,['64191'],,53 Valley Crescent,Wakefield,WF2 0JB,England,West Yorkshire,Wrenthorpe,2018,2015
