company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
HAADI CONSULTANCY SERVICES LIMITED,11688038,dissolved,ltd,search-results#company,{'company_profile': '/company/11688038'},2022-05-31,2018-11-20,['64191'],,8 Richards Croft,Chester,CH3 5SJ,United Kingdom,,Great Boughton,2022,2018
OOTA LTD,11690725,active,ltd,search-results#company,{'company_profile': '/company/11690725'},,2018-11-22,"['64191', '64192', '64205', '66190']",,19 Oyster Row Lukin Street,London,E1 0BG,United Kingdom,,,,2018
GRIFFIN BANK LTD,10842931,active,ltd,search-results#company,{'company_profile': '/company/10842931'},,2017-06-29,['64191'],,9th Floor 107 Cheapside,London,EC2V 6DN,United Kingdom,,,,2017
LARSEN SPENCER CONSULTANCY LTD,10870643,dissolved,ltd,search-results#company,{'company_profile': '/company/10870643'},2021-09-07,2017-07-18,['64191'],,55 Regent Avenue,Bootle,L30 6YG,United Kingdom,,,2021,2017
S A CONTRACTING SOLUTIONS LIMITED,10872306,dissolved,ltd,search-results#company,{'company_profile': '/company/10872306'},2020-10-06,2017-07-18,['64191'],,Unit 3 116 Broughton Lane,Salford,M7 1UF,United Kingdom,,,2020,2017
MCCABE & SONS LIMITED,10875773,dissolved,ltd,search-results#company,{'company_profile': '/company/10875773'},2022-12-20,2017-07-20,['64191'],,46 Christopher Way,Liverpool,L16 1JQ,England,,,2022,2017
GLOBAL DIGITAL UNION LIMITED,10875341,dissolved,ltd,search-results#company,{'company_profile': '/company/10875341'},2019-01-08,2017-07-20,"['64191', '64301', '66220', '66300']",,30 St Mary,London,EC3A 8BF,United Kingdom,,15floor,2019,2017
EZ PREPAID CARDS FINANCIAL SERVICES LTD,10880940,dissolved,ltd,search-results#company,{'company_profile': '/company/10880940'},2019-01-08,2017-07-24,"['64191', '64929', '64999']",,34 New House 67-68 Hatton Garden,London,EC1N 8JY,United Kingdom,,,2019,2017
COGNALO LIMITED,10891328,dissolved,ltd,search-results#company,{'company_profile': '/company/10891328'},2018-11-06,2017-07-31,['64191'],,Regus House Victory Way,Dartford,DA2 6QD,United Kingdom,Kent,"Admirals Park, Crossways",2018,2017
RAPHI DESIGN LIMITED,10892654,dissolved,ltd,search-results#company,{'company_profile': '/company/10892654'},2019-07-23,2017-08-01,['64191'],,7 Sturge Avenue,London,E17 4LF,United Kingdom,,,2019,2017
EYRC FINANCIAL SERVICES LIMITED,10896228,dissolved,ltd,search-results#company,{'company_profile': '/company/10896228'},2020-12-01,2017-08-02,['64191'],,414-416 Blackpool Road,Preston,PR2 2DX,England,,Ashton-On-Ribble,2020,2017
RUSSELL SHIELS CONSULTANCY LTD,10898749,dissolved,ltd,search-results#company,{'company_profile': '/company/10898749'},2020-10-06,2017-08-03,['64191'],,38 Coral Drive,Bootle,L20 3UG,United Kingdom,,,2020,2017
SLW CONSULTANTS LTD,10900685,dissolved,ltd,search-results#company,{'company_profile': '/company/10900685'},2019-01-08,2017-08-04,"['64191', '64192']",,20-22 Wenlock Road,London,N1 7GU,England,,,2019,2017
AZT LTD,10905520,dissolved,ltd,search-results#company,{'company_profile': '/company/10905520'},2020-10-13,2017-08-08,['64191'],,11 Pheasant Grove,Liverpool,L26 7WT,England,,,2020,2017
T1MRM LIMITED,11376066,dissolved,ltd,search-results#company,{'company_profile': '/company/11376066'},2021-02-26,2018-05-22,['64191'],,41 Kingston Street,Cambridge,CB1 2NU,,,,2021,2018
SIMON F PEACOCK LTD,11377416,dissolved,ltd,search-results#company,{'company_profile': '/company/11377416'},2019-09-03,2018-05-23,['64191'],,Rivendell Furze Hill,Tadworth,KT20 6HB,United Kingdom,,Kingswood,2019,2018
TRIODOS BANK UK LIMITED,11379025,active,ltd,search-results#company,{'company_profile': '/company/11379025'},,2018-05-23,['64191'],,Triodos Bank,Bristol,BS1 5AS,United Kingdom,,Deanery Road,,2018
SKMCW LIMITED,11382505,dissolved,ltd,search-results#company,{'company_profile': '/company/11382505'},2022-03-01,2018-05-25,['64191'],,1-3 Manor Road,Chatham,ME4 6AE,England,,,2022,2018
ARGENTARIUS CONSULTING LTD,11425651,dissolved,ltd,search-results#company,{'company_profile': '/company/11425651'},2020-12-08,2018-06-21,['64191'],,36 Willowbourne,Fleet,GU51 5AB,,,,2020,2018
RCI BANK UK LIMITED,11429127,active,ltd,search-results#company,{'company_profile': '/company/11429127'},,2018-06-22,['64191'],,Rivers Office Park Denham Way,Rickmansworth,WD3 9YS,England,England,Maple Cross,,2018
MKD COMPLIANCE LIMITED,11434433,dissolved,ltd,search-results#company,{'company_profile': '/company/11434433'},2020-12-22,2018-06-26,"['64191', '64205']",,15 Farm House Lane,Sutton Coldfield,B75 5UH,England,,,2020,2018
FOJ LIMITED,11452663,active,ltd,search-results#company,{'company_profile': '/company/11452663'},,2018-07-06,['64191'],,11 Hillcrest,London,SE24 9PZ,United Kingdom,,Sunray Avenue,,2018
SCOREX FINANCIAL GROUP LIMITED,12395461,dissolved,ltd,search-results#company,{'company_profile': '/company/12395461'},2021-11-16,2020-01-09,"['64191', '66110', '66300']",,Scorex Financial Group Limited,London,EC2A 4NE,United Kingdom,,"3rd Floor, 86-90 Paul Street",2021,2020
AG HELIOS & LEMOS LIMITED,12396670,dissolved,ltd,search-results#company,{'company_profile': '/company/12396670'},2021-07-20,2020-01-10,"['64191', '64203', '66300']",,1 Canada Square,London,E14 5AB,United Kingdom,London,,2021,2020
VICHAS & PROJECT LIMITED,12407828,dissolved,ltd,search-results#company,{'company_profile': '/company/12407828'},2021-07-27,2020-01-16,"['64191', '64203', '64306', '66300']",,2nd Floor College House,Ruislip,HA4 7AE,United Kingdom,London,17 King Edwards Road,2021,2020
ORBIT TRADING & DEVELOPMENT LIMITED,12456832,dissolved,ltd,search-results#company,{'company_profile': '/company/12456832'},2022-02-15,2020-02-11,"['61900', '63120', '64191']",,Carpenter Court 1 Maple Road,Stockport,SK7 2DH,,Cheshire,Bramhall,2022,2020
MATRIX FINANCES LTD,12461232,dissolved,ltd,search-results#company,{'company_profile': '/company/12461232'},2021-08-24,2020-02-13,['64191'],,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2021,2020
GIANTBCOIN LIMITED,12883658,dissolved,ltd,search-results#company,{'company_profile': '/company/12883658'},2022-02-22,2020-09-16,['64191'],,1 Gloucester Street,London,SW1V 2DB,United Kingdom,,Pimlico,2022,2020
DOGEMINOR LIMITED,12901230,dissolved,ltd,search-results#company,{'company_profile': '/company/12901230'},2022-03-01,2020-09-24,['64191'],,3 Gloucester Street,London,SW1V 2DB,United Kingdom,,Pimlico,2022,2020
NOW NOW UK LTD,12916917,active,ltd,search-results#company,{'company_profile': '/company/12916917'},,2020-09-30,"['64191', '64999']",,10 Orme Square,London,W2 4RS,England,,,,2020
CREDOVO LTD,12946889,dissolved,ltd,search-results#company,{'company_profile': '/company/12946889'},2022-03-22,2020-10-13,['64191'],,Granville Hall,Leicester,LE1 7RU,England,,11 Granville Road,2022,2020
WEALTH FINANCE LTD,12954242,dissolved,ltd,search-results#company,{'company_profile': '/company/12954242'},2022-12-27,2020-10-15,['64191'],,45 Fitzroy Street,London,W1T 6EB,United Kingdom,,,2022,2020
GREEN LIGHT SOLAR INVESTMENT LIMITED,12956897,dissolved,ltd,search-results#company,{'company_profile': '/company/12956897'},2022-03-29,2020-10-16,"['64110', '64191', '64301', '64929']",,45 Queen Street,Oxford,OX1 1ET,England,,,2022,2020
HEDGEBITCOINS LIMITED,12964995,dissolved,ltd,search-results#company,{'company_profile': '/company/12964995'},2022-03-29,2020-10-21,['64191'],,64 Warwick Square Pimlico,London,SW1V 2AL,United Kingdom,,,2022,2020
SW LEICESTER LTD,11986158,active,ltd,search-results#company,{'company_profile': '/company/11986158'},,2019-05-09,['64191'],,11 Martindale Close,Leicester,LE2 7HH,United Kingdom,,,,2019
MAMUN AHMED LTD,12006321,active,ltd,search-results#company,{'company_profile': '/company/12006321'},,2019-05-20,['64191'],,36 Thropton Avenue,Newcastle Upon Tyne,NE7 7NR,United Kingdom,,,,2019
ARKCOINEX LTD,12009157,dissolved,ltd,search-results#company,{'company_profile': '/company/12009157'},2022-10-25,2019-05-21,"['64191', '64205']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2022,2019
MIRREH INTERNATIONAL LTD,12015608,dissolved,ltd,search-results#company,{'company_profile': '/company/12015608'},2021-08-10,2019-05-24,['64191'],,12 Aquila House,Cardiff,CF10 4PD,Wales,,Falcon Drive,2021,2019
LROB FINANCIAL SERVICES LTD,12029933,dissolved,ltd,search-results#company,{'company_profile': '/company/12029933'},2021-03-23,2019-06-03,['64191'],,53 Chudleigh Road,Birmingham,B23 6HG,United Kingdom,,,2021,2019
PH CONSULTING GROUP LTD,12031535,dissolved,ltd,search-results#company,{'company_profile': '/company/12031535'},2020-10-27,2019-06-04,"['64191', '80300']",,71-75 Shelton Street,London,WC2H 9JQ,England,,Covent Garden,2020,2019
RMM LONDON CONSULTANCY LTD,12053192,dissolved,ltd,search-results#company,{'company_profile': '/company/12053192'},2023-09-26,2019-06-17,['64191'],,26 Carisbrooke Close,Hornchurch,RM11 3QP,England,Essex,,2023,2019
MERKIM LIMITED,12058864,dissolved,ltd,search-results#company,{'company_profile': '/company/12058864'},2021-11-02,2019-06-19,['64191'],,133 Proffitt Avenue,Coventry,CV6 7ES,England,,,2021,2019
DESIGN NUMBERS LTD,12060407,dissolved,ltd,search-results#company,{'company_profile': '/company/12060407'},2021-03-23,2019-06-19,['64191'],,36 Holmwood Road,Cheam,SM2 7JP,England,Surrey,,2021,2019
JOHT CONSULTING LIMITED,12061615,dissolved,ltd,search-results#company,{'company_profile': '/company/12061615'},2020-09-29,2019-06-20,['64191'],,4 Loveday Close,Royston,SG8 8UA,England,,Chrishall,2020,2019
ANISA ISHAQ LIMITED,12063173,dissolved,ltd,search-results#company,{'company_profile': '/company/12063173'},2021-11-09,2019-06-21,['64191'],,31 Ash Grove Ash Grove,Leeds,LS6 1AX,United Kingdom,,,2021,2019
CRYPTO MINERS GROUP LTD,12724180,dissolved,ltd,search-results#company,{'company_profile': '/company/12724180'},2021-12-14,2020-07-06,"['64191', '66110', '66300']",,"10 Gelten Road, Castell T21",London,VA12 6OP,England,,,2021,2020
AACE SERVICES LIMITED,12731798,dissolved,ltd,search-results#company,{'company_profile': '/company/12731798'},2021-12-14,2020-07-09,['64191'],,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2021,2020
AVENTADOR MATADOR LTD,12736771,dissolved,ltd,search-results#company,{'company_profile': '/company/12736771'},2021-12-21,2020-07-13,"['01150', '45111', '45112', '64191']",,21-23 Beethoven St Beethoven Street Flat B,London,W10 4LG,England,,,2021,2020
KINGSTON ACADEMY OF MODERN SCIENCE LTD,12753570,active,ltd,search-results#company,{'company_profile': '/company/12753570'},,2020-07-19,"['01630', '64191', '85600', '94110']",,22 Edward Road,Leicester,LE2 1TF,England,,,,2020
BRASIL BRASIL FOMENTO MERCANTIL LTD,12475605,dissolved,ltd,search-results#company,{'company_profile': '/company/12475605'},2022-01-04,2020-02-21,"['64191', '64301', '64910', '64929']",,55 Listerhills Science Park,Bradford,BD7 1HR,England,,Campus Road,2022,2020
UAG PAY LTD,12478554,dissolved,ltd,search-results#company,{'company_profile': '/company/12478554'},2021-09-07,2020-02-24,"['62012', '62020', '63120', '64191']",,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,Greater London,,2021,2020
GOOGOO LTD,12496472,active,ltd,search-results#company,{'company_profile': '/company/12496472'},,2020-03-04,"['63120', '64191', '64999', '66120']",,37 King Street,Burton-On-Trent,DE14 3AF,England,,,,2020
ZAPAD B (UK) LIMITED,12498646,dissolved,ltd,search-results#company,{'company_profile': '/company/12498646'},2021-09-14,2020-03-04,['64191'],,"Rex House, 4-12 Regent Street",London,SW1Y 4PE,United Kingdom,,,2021,2020
J L DIGITAL TECHNOLOGIES LIMITED,12501281,dissolved,ltd,search-results#company,{'company_profile': '/company/12501281'},2021-07-20,2020-03-06,"['64191', '64921', '64929']",,101 Leadale Road,London,N15 6BJ,England,,,2021,2020
FMC CONSULTING LTD,12537721,dissolved,ltd,search-results#company,{'company_profile': '/company/12537721'},2021-07-20,2020-03-30,['64191'],,71-75 Shelton Street,London,WC2H 9JQ,England,,Covent Garden,2021,2020
97NSK LTD,12539611,dissolved,ltd,search-results#company,{'company_profile': '/company/12539611'},2021-09-28,2020-03-30,['64191'],,102 Mansel Road,Birmingham,B10 9LZ,United Kingdom,West Midlands,,2021,2020
RXA LTD,12333845,dissolved,ltd,search-results#company,{'company_profile': '/company/12333845'},2022-01-04,2019-11-26,['64191'],,32a Holly Park Drive,Bradford,BD7 4BY,United Kingdom,,,2022,2019
DAVIDRYDER LTD,12334699,active,ltd,search-results#company,{'company_profile': '/company/12334699'},,2019-11-26,['64191'],,8 Barkston Avenue,Thornaby,TS17 0LE,United Kingdom,,,,2019
JW QUANT SOLUTIONS LTD,12335965,dissolved,ltd,search-results#company,{'company_profile': '/company/12335965'},2021-01-26,2019-11-27,"['64191', '64205', '64999', '65300']",,116 Avondale Road,London,BR1 4EY,United Kingdom,,,2021,2019
HC CREDIT FINANCE LTD,12338288,dissolved,ltd,search-results#company,{'company_profile': '/company/12338288'},2022-01-25,2019-11-28,"['64191', '64999']",,12338288: COMPANIES HOUSE DEFAULT ADDRESS,Cardiff,CF14 8LH,,,,2022,2019
SYSTEM VIX LIMITED,12344047,dissolved,ltd,search-results#company,{'company_profile': '/company/12344047'},2021-06-29,2019-12-02,['64191'],,Flat 8a Glebe Road,Bromley,BR1 3NT,United Kingdom,,,2021,2019
AJH BRENTWOOD LIMITED,12344463,dissolved,ltd,search-results#company,{'company_profile': '/company/12344463'},2021-06-29,2019-12-02,['64191'],,11 Westwood Avenue,Brentwood,CM14 4PA,United Kingdom,Essex,,2021,2019
AVBTECH LTD,12347683,dissolved,ltd,search-results#company,{'company_profile': '/company/12347683'},2021-08-24,2019-12-04,['64191'],,12 Hertford Way,Solihull,B93 0PD,United Kingdom,West Midlands,Knowle,2021,2019
DVORAH LTD,12349689,active,ltd,search-results#company,{'company_profile': '/company/12349689'},,2019-12-05,['64191'],,27 Old Gloucester Street,London,WC1N 3AX,England,,,,2019
DATOCULI LTD,12379063,dissolved,ltd,search-results#company,{'company_profile': '/company/12379063'},2023-03-28,2019-12-30,['64191'],,3rd Floor 86-90 Paul Street,London,EC2A 4NE,United Kingdom,,,2023,2019
AVAZ COTTON INDUSTRIES LIMITED,12380582,dissolved,ltd,search-results#company,{'company_profile': '/company/12380582'},2022-02-15,2019-12-30,"['45111', '45112', '46230', '64191']",,Kemp House,London,EC1V 2NX,United Kingdom,,160 City Road,2022,2019
AHF CAPITAL SOLUTIONS LTD,12391293,dissolved,ltd,search-results#company,{'company_profile': '/company/12391293'},2021-07-13,2020-01-08,['64191'],,Flat A,London,SE11 4TU,United Kingdom,,29 Brook Drive,2021,2020
TRINETI LTD,12809810,dissolved,ltd,search-results#company,{'company_profile': '/company/12809810'},2022-02-08,2020-08-13,['64191'],,Kemp House,London,EC1V 2NX,United Kingdom,,160 City Road,2022,2020
THE BANK OF LONDON GROUP LIMITED,12844788,active,ltd,search-results#company,{'company_profile': '/company/12844788'},,2020-08-28,"['64110', '64191']",,100 Bishopsgate Paul Hastings (Europe) Llp,London,EC2N 4AG,,City Of London,Bishopsgate,,2020
HIT ONEHASH LTD,12798632,dissolved,ltd,search-results#company,{'company_profile': '/company/12798632'},2022-01-11,2020-08-07,['64191'],,47c Moreton Terrace Pimlico,London,SW1V 2NS,United Kingdom,,,2022,2020
SWISS GOLD GROUP LIMITED,12828262,dissolved,ltd,search-results#company,{'company_profile': '/company/12828262'},2022-02-01,2020-08-21,"['35230', '64191', '64205', '96090']",,15 Church Street,Bedfordshire,SG19 2AN,England,,Tempsford,2022,2020
CRYPTO NESIA TRADE LTD,12836966,dissolved,ltd,search-results#company,{'company_profile': '/company/12836966'},2022-02-01,2020-08-25,['64191'],,29a Moreton Place Pimlico,London,SW1V 2NL,United Kingdom,,,2022,2020
JENNI HARTMAN LIMITED,12650261,dissolved,ltd,search-results#company,{'company_profile': '/company/12650261'},2021-08-03,2020-06-08,['64191'],,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,Greater London,,2021,2020
BLUEBELL FUNDING UK LTD,12667685,active,ltd,search-results#company,{'company_profile': '/company/12667685'},,2020-06-12,"['64191', '64205', '64910', '66300']",,Lyndale House,Addlestone,KT15 1TN,England,Surrey,24a High Street,,2020
HOTBTCHUB LIMITED,12712369,dissolved,ltd,search-results#company,{'company_profile': '/company/12712369'},2021-12-07,2020-07-02,['64191'],,26 Denbigh Place Pimlico,London,SW1V 2HA,United Kingdom,,,2021,2020
S.M SOLUTIONZ LTD,11606472,dissolved,ltd,search-results#company,{'company_profile': '/company/11606472'},2019-02-12,2018-10-05,['64191'],,7 Stansfield Drive,Rochdale,OL11 5RX,United Kingdom,,,2019,2018
ELLANTO LIMITED,11609605,dissolved,ltd,search-results#company,{'company_profile': '/company/11609605'},2021-08-17,2018-10-08,['64191'],,The Manor House,Sheffield,S11 9PS,,,260 Ecclesall Road South,2021,2018
CRYPTO AFRICA NETWORK LIMITED,11614570,dissolved,ltd,search-results#company,{'company_profile': '/company/11614570'},2020-03-17,2018-10-10,['64191'],,Walcot Square,London,SE11 4UB,England,,Lambeth,2020,2018
NORTH STRAND CONSULTING LIMITED,11615878,dissolved,ltd,search-results#company,{'company_profile': '/company/11615878'},2021-09-21,2018-10-10,['64191'],,10 Kingsley Avenue Birkenshaw,Bradford,BD11 2NQ,England,,,2021,2018
DOTUN18 LIMITED,11616514,dissolved,ltd,search-results#company,{'company_profile': '/company/11616514'},2020-01-14,2018-10-11,['64191'],,13 Balder Rise,London,SE12 9PF,United Kingdom,England,,2020,2018
MERRYLEE CONSULTING LTD,11618659,dissolved,ltd,search-results#company,{'company_profile': '/company/11618659'},2023-11-14,2018-10-11,['64191'],,37 Blandford Road,Teddington,TW11 0LG,England,,,2023,2018
SPECTRO TRADE GROUP LTD,11621746,dissolved,ltd,search-results#company,{'company_profile': '/company/11621746'},2020-03-24,2018-10-14,['64191'],,81 Guildford Road,Learmouth,TD12 3RD,United Kingdom,,East,2020,2018
ANEELKHAN LIMITED,11647748,dissolved,ltd,search-results#company,{'company_profile': '/company/11647748'},2020-03-31,2018-10-29,['64191'],,15 Millers Way,Telford,TF2 8QR,United Kingdom,,,2020,2018
MARK CIULLO LTD,11665285,dissolved,ltd,search-results#company,{'company_profile': '/company/11665285'},2021-12-21,2018-11-07,['64191'],,102 Gandalfs Ride,Chelmsford,CM3 5WS,United Kingdom,,South Woodham Ferrers,2021,2018
L M WEBB CONSULTING LTD,11668868,dissolved,ltd,search-results#company,{'company_profile': '/company/11668868'},2022-03-22,2018-11-09,"['64191', '66300']",,Unit 36 Silk Mill Industrial Estate,Tring,HP23 5EF,United Kingdom,,Brook Street,2022,2018
TRANSACT INNOVATIONS LIMITED,13127239,dissolved,ltd,search-results#company,{'company_profile': '/company/13127239'},2022-06-21,2021-01-12,['64191'],,Unit H2 The Brewery Quarter,Cheltenham,GL50 3FF,England,,High Street,2022,2021
TRILLIONZ FINANCE UK LTD,13129386,dissolved,ltd,search-results#company,{'company_profile': '/company/13129386'},2023-03-21,2021-01-12,['64191'],,20-22 Wenlock Road,London,N1 7GU,England,,,2023,2021
RENER & REMINGTON INVESTMENT LTD,13176223,dissolved,ltd,search-results#company,{'company_profile': '/company/13176223'},2022-04-12,2021-02-03,"['64191', '64205', '64999', '70221']",,"1 Shearway Business Park, Shearway Rd",Folkestone,CT19 4RH,United Kingdom,,,2022,2021
DIAMOND ROYALE LTD,13186105,dissolved,ltd,search-results#company,{'company_profile': '/company/13186105'},2023-04-11,2021-02-08,"['64191', '64303', '64304', '66110']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2023,2021
FINVERGECAP LIMITED,13212088,dissolved,ltd,search-results#company,{'company_profile': '/company/13212088'},2022-07-26,2021-02-19,['64191'],,14 Lennox Gardens Mews,London,SW1X 0DP,United Kingdom,,Chelsea,2022,2021
FOREX LIQUIDITY MARKETS LIMITED,13215870,dissolved,ltd,search-results#company,{'company_profile': '/company/13215870'},2022-07-26,2021-02-22,"['64191', '64910', '66300']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2022,2021
OWL COINS COMPANY LTD,13224025,dissolved,ltd,search-results#company,{'company_profile': '/company/13224025'},2022-10-04,2021-02-24,"['64191', '96090']",,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,Greater London,,2022,2021
ALBEREKAT.COM LIMITED,13263977,dissolved,ltd,search-results#company,{'company_profile': '/company/13263977'},2022-08-16,2021-03-12,"['64191', '64205', '66110', '66120']",,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,Greater London,,2022,2021
MATREE LIMITED,13268360,dissolved,ltd,search-results#company,{'company_profile': '/company/13268360'},2022-08-16,2021-03-15,['64191'],,105 Butterbache Road,Chester,CH3 6DE,United Kingdom,,Huntington,2022,2021
MAXLOZ CAPITAL GLOBAL LIMITED,13272253,active,ltd,search-results#company,{'company_profile': '/company/13272253'},,2021-03-17,"['64191', '64205', '64301', '66120']",,291 Brighton Road,South Croydon,CR2 6EQ,United Kingdom,,,,2021
FORIOXCAPITAL LIMITED,13227035,dissolved,ltd,search-results#company,{'company_profile': '/company/13227035'},2022-08-09,2021-02-25,['64191'],,13a Lennox Gardens Mews,London,SW1X 0DP,United Kingdom,,Chelsea,2022,2021
NEIL MCLAUGHLIN CONTRACTING LIMITED,SC500685,dissolved,ltd,search-results#company,{'company_profile': '/company/SC500685'},2021-06-01,2015-03-17,['64191'],,64 Coyle Drive,Glasgow,G69 8FF,Scotland,,Gartcosh,2021,2015
DANIELLE RUSSELL LTD,SC505572,dissolved,ltd,search-results#company,{'company_profile': '/company/SC505572'},2021-03-16,2015-05-11,['64191'],,17 Greenside Torphichen,Bathgate,EH48 4NB,United Kingdom,,,2021,2015
EMB SCOTLAND LIMITED,SC509965,dissolved,ltd,search-results#company,{'company_profile': '/company/SC509965'},2020-09-29,2015-07-02,['64191'],,60 Constitution Street,Edinburgh,EH6 6RR,Scotland,,,2020,2015
TEACH FINANCIAL LTD,SC516025,dissolved,ltd,search-results#company,{'company_profile': '/company/SC516025'},2022-01-04,2015-09-22,['64191'],,25 Glenwood Place,Glasgow,G45 9UH,Scotland,,"Office 18,Glenwood Business Centre,",2022,2015
CATHERINE REID LTD,SC518122,dissolved,ltd,search-results#company,{'company_profile': '/company/SC518122'},2021-11-16,2015-10-16,['64191'],,13 Buckingham Terrace Hillhead,Glasgow,G12 8EB,Scotland,,,2021,2015
TOTSH UK LIMITED,SC522434,active,ltd,search-results#company,{'company_profile': '/company/SC522434'},,2015-12-14,['64191'],,11 Huntly Gardens,Glasgow,G72 0GW,Scotland,,Blantyre,,2015
DENIS PAYSO TRADING LIMITED,SC528066,dissolved,ltd,search-results#company,{'company_profile': '/company/SC528066'},2019-01-22,2016-02-26,['64191'],,1/2  Number 68 Albert Avenue,Glasgow,G42 8RD,United Kingdom,,,2019,2016
KIM OVERTON FINANCIAL CONSULTANCY LIMITED,SC528088,dissolved,ltd,search-results#company,{'company_profile': '/company/SC528088'},2018-08-07,2016-02-29,['64191'],,185 Templeland Road,Glasgow,G53 5LX,United Kingdom,Strathclyde,,2018,2016
MAGNUS MUNRO LTD,SC531120,dissolved,ltd,search-results#company,{'company_profile': '/company/SC531120'},2020-02-18,2016-03-30,['64191'],,5 Traprain Terrace,Haddington,EH41 3QD,Scotland,East Lothian,,2020,2016
TST CONSULTING LIMITED,SC541231,dissolved,ltd,search-results#company,{'company_profile': '/company/SC541231'},2019-01-08,2016-07-27,['64191'],,49 Captains Drive,Edinburgh,EH16 6QN,Scotland,,,2019,2016
JJ88 LTD,SC546979,dissolved,ltd,search-results#company,{'company_profile': '/company/SC546979'},2021-01-12,2016-10-05,['64191'],,"Flat1/1,1 Ashwood Gardens",Glasgow,G13 1NX,Scotland,,,2021,2016
S T NAISMITH LIMITED,SC547867,dissolved,ltd,search-results#company,{'company_profile': '/company/SC547867'},2019-01-08,2016-10-17,['64191'],,25 Mary Street,Hamilton,ML3 6PX,United Kingdom,,,2019,2016
G FISHER LIMITED,SC548394,dissolved,ltd,search-results#company,{'company_profile': '/company/SC548394'},2018-04-03,2016-10-24,"['64191', '70229', '84210']",,Bush Of Ewes Farm,Langholm,DG13 0HN,Scotland,,Ewes,2018,2016
JWYG CONSULTING LIMITED,SC549916,dissolved,ltd,search-results#company,{'company_profile': '/company/SC549916'},2019-12-03,2016-11-10,['64191'],,17 Mainsfield Avenue,Kelso,TD5 8QW,United Kingdom,,Morebattle,2019,2016
OZAY LIMITED,SC550504,active,ltd,search-results#company,{'company_profile': '/company/SC550504'},,2016-11-17,['64191'],,8/1 Orchard Brae Avenue,Edinburgh,EH4 2HP,Scotland,,,,2016
FRASER PROFESSIONAL SERVICES LTD,SC550262,dissolved,ltd,search-results#company,{'company_profile': '/company/SC550262'},2019-01-08,2016-11-15,['64191'],,21 Overton Avenue,Strathaven,ML10 6NR,Scotland,,,2019,2016
CRISTINA DE DONA LIMITED,10189359,dissolved,ltd,search-results#company,{'company_profile': '/company/10189359'},2018-07-24,2016-05-19,['64191'],,138 Hassell Street,Newcastle,ST5 1BB,England,,,2018,2016
OPTIMAL ANALYSIS LIMITED,10208478,dissolved,ltd,search-results#company,{'company_profile': '/company/10208478'},2020-12-29,2016-06-01,['64191'],,3 Homestead Drive,Sutton Coldfield,B75 5LN,England,West Midlands,,2020,2016
HENRI GRATPENCHE LIMITED,10211808,dissolved,ltd,search-results#company,{'company_profile': '/company/10211808'},2018-06-26,2016-06-02,['64191'],,Mansion House,Altrincham,WA14 4RW,England,Cheshire,Manchester Road,2018,2016
CURVETECH LTD,10217594,active,ltd,search-results#company,{'company_profile': '/company/10217594'},,2016-06-07,['64191'],,Dns House,Harrow,HA3 8DP,United Kingdom,Middlesex,382 Kenton Road,,2016
H CORP. LTD,10225443,active,ltd,search-results#company,{'company_profile': '/company/10225443'},,2016-06-10,"['43390', '45112', '64191', '85600']",,74 Selsey Rd Selsey Road,Birmingham,B17 8JS,England,,,,2016
MARIA MEHBOOB LTD,10240079,dissolved,ltd,search-results#company,{'company_profile': '/company/10240079'},2019-02-05,2016-06-20,['64191'],,13 Ripon Road,Walsall,WS2 9UU,England,West Midlands,,2019,2016
GYANDZHUNTSEV LIMITED,10352476,dissolved,ltd,search-results#company,{'company_profile': '/company/10352476'},2018-10-30,2016-08-31,['64191'],,Windsor House Troon Way Business Centre,Thurmaston,LE4 9HA,England,Leicester,Humberstone Lane,2018,2016
INFINITE WEALTH 24.7 LTD,10360082,dissolved,ltd,search-results#company,{'company_profile': '/company/10360082'},2018-02-13,2016-09-05,"['64110', '64191', '64921', '66300']",,20-22 Wenlock Road,London,N1 7GU,England,,,2018,2016
PATRIK PACHINGER LIMITED,10367675,dissolved,ltd,search-results#company,{'company_profile': '/company/10367675'},2018-02-13,2016-09-09,"['64110', '64191', '64304', '66300']",,Penhurst House,London,SW11 3BY,England,,352-356 Battersea Park Road,2018,2016
CATKIN CONSULTING LIMITED,10380196,active,ltd,search-results#company,{'company_profile': '/company/10380196'},,2016-09-16,['64191'],,34 Redcliffe Road,London,SW10 9NJ,England,,,,2016
IVY J LTD,10380741,dissolved,ltd,search-results#company,{'company_profile': '/company/10380741'},2018-02-27,2016-09-17,['64191'],,27 Hansby Drive,Liverpool,L24 9LG,England,,Speke,2018,2016
